,id,show_id,title,director,country,release_year,duration,listed_in,score,director1,cast1,cast2,cast3,country1,duration1,listed_in1,listed_in2,score1
406,406,s589,Arthur Christmas,Sarah Smith,"United Kingdom, United States",2011,98 min,"Children & Family Movies, Comedies",0,980,86,26,980,430,98,Children & Family Movies,4,2
407,407,s590,Article 15,Anubhav Sinha,India,2019,125 min,"Dramas, International Movies, Thrillers",5,614,717,277,614,173,125,Dramas,12,5
408,408,s591,Aruna & Her Palate,Edwin,"Indonesia, South Korea, Singapore",2018,106 min,"Dramas, International Movies",4,431,401,55,431,195,106,Dramas,12,4
409,409,s592,"As Above, So Below",John Erick Dowdle,United States,2014,93 min,"Horror Movies, Thrillers",4,585,171,531,585,440,93,Horror Movies,13,4
410,410,s593,As Good as It Gets,James L. Brooks,United States,1997,139 min,"Comedies, Romantic Movies",2,376,491,643,376,440,139,Comedies,7,4
411,411,s594,Ascharyachakit!,Samit Kakkad,India,2018,90 min,"Dramas, Independent Movies, International Movies",2,600,73,376,600,173,90,Dramas,12,4
412,412,s595,Asees,Rana Ranbir,India,2018,123 min,"Dramas, International Movies, Music & Musicals",3,56,431,203,56,173,123,Dramas,12,5
413,413,s600,Asoka,Santosh Sivan,India,2001,168 min,"Action & Adventure, Dramas, International Movies",1,792,395,627,792,173,168,Action & Adventure,0,3
414,414,s601,Asperger's Are Us,Alex Lehmann,United States,2016,83 min,Documentaries,4,872,521,902,872,440,83,Documentaries,10,4
415,415,s602,Asphalt Burning,Hallvard Br?in,Norway,2020,101 min,"Action & Adventure, Comedies, International Movies",4,959,709,766,959,259,101,Action & Adventure,0,4
416,416,s603,Assimilate,John Murlowski,United States,2019,94 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers",3,175,272,871,175,440,94,Horror Movies,13,5
417,417,s605,Asu Mare 2,Ricardo Maldonado,Peru,2015,100 min,"Comedies, International Movies",3,43,75,532,43,270,100,Comedies,7,5
418,418,s606,Asura Guru,A. Raajdheep,India,2020,117 min,"Dramas, International Movies",1,462,717,708,462,173,117,Dramas,12,3
419,419,s607,Asura: The City of Madness,Sung-soo Kim,South Korea,2016,133 min,"Action & Adventure, Dramas, International Movies",2,302,348,468,302,311,133,Action & Adventure,0,4
420,420,s608,At All Costs,Mike Nicoll,United States,2016,81 min,"Documentaries, Sports Movies",4,470,188,748,470,440,81,Documentaries,10,4
421,421,s609,At First Light,Jason Stone,Canada,2018,91 min,"Dramas, Sci-Fi & Fantasy",5,107,387,575,107,39,91,Dramas,12,5
422,422,s613,Atlantics,Mati Diop,"France, Senegal, Belgium",2019,106 min,"Dramas, Independent Movies, International Movies",1,289,421,692,289,136,106,Dramas,12,3
423,423,s614,Atlas Shrugged: Part II,John Putch,United States,2012,112 min,Dramas,4,768,121,474,768,440,112,Dramas,12,4
424,424,s615,ATM,Mez Tharatorn,"United States, Canada",2012,122 min,"Comedies, International Movies, Romantic Movies",5,558,966,210,558,450,122,Comedies,7,5
425,425,s618,Attacking the Devil: Harold Evans and the Last Nazi War Crime,"David Morris, Jacqui Morris",United Kingdom,2014,102 min,"Documentaries, International Movies",5,648,267,83,648,369,102,Documentaries,10,5
426,426,s619,Attitude Test,"Fabrizio Copano, Augusto Matte",Chile,2016,88 min,"Comedies, Independent Movies, International Movies",2,245,135,887,245,63,88,Comedies,7,4
427,427,s623,Aurora,Cristi Puiu,"Romania, France, Switzerland, Germany",2010,186 min,"Dramas, International Movies",3,278,254,131,278,285,186,Dramas,12,5
428,428,s624,Auschwitz: Blueprints of Genocide,Mike Rossiter,United Kingdom,1994,49 min,Documentaries,1,350,676,927,350,369,49,Documentaries,10,3
429,429,s626,Austin Powers in Goldmember,Jay Roach,United States,2002,94 min,"Action & Adventure, Comedies",3,152,728,203,152,440,94,Action & Adventure,0,5
430,430,s627,Austin Powers: International Man of Mystery,Jay Roach,United States,1997,90 min,Comedies,2,251,136,87,251,440,90,Comedies,7,4
431,431,s628,Austin Powers: The Spy Who Shagged Me,Jay Roach,United States,1999,95 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy",4,105,3,370,105,440,95,Action & Adventure,0,4
432,432,s629,Autohead,Rohit Mittal,India,2016,97 min,"Dramas, International Movies, Thrillers",1,395,803,537,395,173,97,Dramas,12,3
433,433,s630,Automata,Gabe Ib¨¢?ez,"Bulgaria, United States, Spain, Canada",2014,110 min,"International Movies, Sci-Fi & Fantasy, Thrillers",2,888,760,64,888,36,110,International Movies,15,4
434,434,s632,Ava,Tate Taylor,United States,2020,97 min,"Action & Adventure, Dramas",2,464,558,923,464,440,97,Action & Adventure,0,4
435,435,s634,Ave Maryam,Ertanto Robby Soediskam,Indonesia,2018,73 min,"Dramas, International Movies, Romantic Movies",5,723,61,37,723,192,73,Dramas,12,5
436,436,s635,Avengement,Jesse V. Johnson,United Kingdom,2019,88 min,Action & Adventure,2,274,923,539,274,369,88,Action & Adventure,0,4
437,437,s636,Avengers: Infinity War,"Anthony Russo, Joe Russo",United States,2018,150 min,"Action & Adventure, Sci-Fi & Fantasy",0,97,679,483,97,440,150,Action & Adventure,0,2
438,438,s637,Avicii: True Stories,Levan Tsikurishvili,"Sweden, Netherlands",2017,97 min,"Documentaries, International Movies, Music & Musicals",4,375,745,647,375,341,97,Documentaries,10,4
439,439,s638,Await Further Instructions,Johnny Kevorkian,United Kingdom,2018,91 min,"Horror Movies, Sci-Fi & Fantasy",4,665,938,596,665,369,91,Horror Movies,13,4
440,440,s639,Awake,"Aleksandr Chernyaev, Fedor Lyass",United States,2019,92 min,Thrillers,2,437,455,72,437,440,92,Thrillers,31,2
441,441,s643,Awe,Prasanth Varma,India,2018,111 min,"Dramas, International Movies, Sci-Fi & Fantasy",1,106,92,972,106,173,111,Dramas,12,3
442,442,s644,Axone,Nicholas Kharkongor,India,2020,101 min,"Comedies, Dramas, Independent Movies",4,155,127,730,155,173,101,Comedies,7,4
443,443,s645,Ayana,Gangadhar Salimath,India,2017,112 min,"Dramas, International Movies",4,152,271,402,152,173,112,Dramas,12,4
444,444,s647,Azali,Kwabena Gyansah,Ghana,2018,89 min,"Dramas, International Movies",5,595,605,426,595,160,89,Dramas,12,5
445,445,s648,Azhar,Anthony D'Souza,India,2016,129 min,"Dramas, International Movies, Sports Movies",3,687,750,57,687,173,129,Dramas,12,5
446,446,s649,Aziz Ansari Live at Madison Square Garden,Aziz Ansari,United States,2015,58 min,Stand-Up Comedy,3,955,952,466,955,440,58,Stand-Up Comedy,25,3
447,447,s650,Aziz Ansari: Buried Alive,"Will Lovelace, Dylan Southern",United States,2013,80 min,Stand-Up Comedy,4,174,397,496,174,440,80,Stand-Up Comedy,25,4
448,448,s651,Aziz Ansari: RIGHT NOW,Spike Jonze,United States,2019,65 min,Stand-Up Comedy,0,724,648,588,724,440,65,Stand-Up Comedy,25,0
449,449,s653,B.A. Pass,Ajay Bahl,India,2013,99 min,"Dramas, Independent Movies, International Movies",1,179,234,693,179,173,99,Dramas,12,3
450,450,s654,B.A. Pass 2,Shadab Khan,India,2017,126 min,"Dramas, International Movies",3,754,671,105,754,173,126,Dramas,12,5
451,451,s655,Baadshaho,Milan Luthria,India,2017,135 min,"Action & Adventure, International Movies",2,160,679,202,160,173,135,Action & Adventure,0,4
452,452,s656,Baaghi,Sabir Khan,India,2016,127 min,"Action & Adventure, International Movies",4,562,651,58,562,173,127,Action & Adventure,0,4
453,453,s657,Baahubali 2: The Conclusion (Hindi Version),S.S. Rajamouli,India,2017,165 min,"Action & Adventure, Dramas, International Movies",1,598,177,585,598,173,165,Action & Adventure,0,3
454,454,s661,Baahubali: The Beginning (Hindi Version),S.S. Rajamouli,India,2015,159 min,"Action & Adventure, Dramas, International Movies",3,327,663,832,327,173,159,Action & Adventure,0,5
455,455,s664,Baazaar,Gauravv K Chawla,India,2018,136 min,"Dramas, International Movies",4,99,445,959,99,173,136,Dramas,12,4
456,456,s665,Babam ve O?lum,?agan Irmak,Turkey,2005,112 min,"Dramas, International Movies",5,947,586,731,947,357,112,Dramas,12,5
457,457,s666,Babam?n Ceketi,M¨¹fit Can Sa??nt?,Turkey,2018,101 min,"Comedies, International Movies",1,230,175,115,230,357,101,Comedies,7,3
458,458,s667,Babel,Alejandro G. I?¨¢rritu,"France, United States, Mexico",2006,143 min,"Dramas, Independent Movies",5,101,401,885,101,142,143,Dramas,12,5
459,459,s671,Baby Dolls,Vijay Kumar Arora,India,2019,127 min,"Comedies, International Movies, Romantic Movies",0,578,731,715,578,173,127,Comedies,7,2
460,460,s672,Baby Mamas,Stephanie Zwane,South Africa,2018,98 min,"Comedies, Dramas, International Movies",4,222,645,804,222,303,98,Comedies,7,4
461,461,s675,Back and Forth,Jos¨¦ Eduardo Belmonte,Brazil,2016,95 min,"Comedies, Dramas, International Movies",0,157,568,10,157,29,95,Comedies,7,2
462,462,s676,Back of the Net,Louise Alston,Australia,2019,86 min,"Children & Family Movies, Sports Movies",4,176,453,342,176,10,86,Children & Family Movies,4,4
463,463,s680,Back to the 90s,Yanyong Kuruaungkoul,Thailand,2015,111 min,"Comedies, International Movies, Music & Musicals",1,216,880,942,216,353,111,Comedies,7,3
464,464,s682,Backcountry,Adam MacDonald,Canada,2014,92 min,"Horror Movies, Independent Movies, Thrillers",1,868,988,267,868,39,92,Horror Movies,13,3
465,465,s683,Backdraft 2,Gonzalo L¨®pez-Gallego,United States,2019,102 min,"Action & Adventure, Dramas",1,141,207,304,141,440,102,Action & Adventure,0,3
466,466,s684,Backfire,Dave Patten,United States,2019,97 min,"Dramas, Independent Movies, Thrillers",2,117,800,674,117,440,97,Dramas,12,4
467,467,s685,Backtrack,Michael Petroni,"Australia, United Kingdom, United Arab Emirates, Canada",2015,90 min,"Dramas, Thrillers",4,90,107,421,90,19,90,Dramas,12,4
468,468,s688,Bad Boys,Michael Bay,United States,1995,119 min,"Action & Adventure, Comedies",2,848,546,269,848,440,119,Action & Adventure,0,4
469,469,s689,Bad Boys II,Michael Bay,United States,2003,147 min,"Action & Adventure, Comedies",5,814,857,934,814,440,147,Action & Adventure,0,5
470,470,s690,Bad Day for the Cut,Chris Baugh,United Kingdom,2017,99 min,"Independent Movies, International Movies, Thrillers",5,26,425,894,26,369,99,Independent Movies,14,5
471,471,s692,Bad Genius,Nattawut Poonpiriya,Thailand,2017,130 min,"Dramas, International Movies, Thrillers",1,860,10,585,860,353,130,Dramas,12,3
472,472,s693,Bad Grandpa .5,Jeff Tremaine,United States,2014,87 min,Comedies,4,173,865,352,173,440,87,Comedies,7,4
473,473,s696,Bad Match,David Chirchirillo,"Singapore, United States",2017,83 min,Thrillers,4,81,131,690,81,300,83,Thrillers,31,4
474,474,s697,Bad Rap,Salima Koroma,"United States, Canada",2016,83 min,"Documentaries, Music & Musicals",1,421,711,802,421,450,83,Documentaries,10,3
475,475,s698,Bad Seeds,Kheiron,"France, Belgium",2018,105 min,"Comedies, Dramas, International Movies",0,935,883,142,935,108,105,Comedies,7,2
476,476,s700,Badha,"Sumitra Bhave, Sunil Sukthankar",India,2006,91 min,"Dramas, International Movies",4,50,892,696,50,173,91,Dramas,12,4
477,477,s701,Badla,Sujoy Ghosh,India,2019,117 min,"International Movies, Thrillers",2,255,831,480,255,173,117,International Movies,15,4
478,478,s702,Badland,Justin Lee,United States,2019,117 min,Dramas,1,273,473,92,273,440,117,Dramas,12,3
479,479,s709,Balto,Simon Wells,United States,1995,78 min,"Children & Family Movies, Dramas",2,783,239,414,783,440,78,Children & Family Movies,4,4
480,480,s710,Balto 2: Wolf Quest,Phil Weinstein,United States,2001,75 min,Children & Family Movies,3,949,744,272,949,440,75,Children & Family Movies,4,5
481,481,s711,Balto 3: Wings of Change,Phil Weinstein,United States,2004,78 min,Children & Family Movies,4,800,335,328,800,440,78,Children & Family Movies,4,4
482,482,s712,Balu Mahi,Haissam Hussain,Pakistan,2017,149 min,"International Movies, Romantic Movies",0,925,88,407,925,265,149,International Movies,15,2
483,483,s713,Bana Masal Anlatma,Burak Aksak,Turkey,2015,103 min,"Comedies, International Movies, Romantic Movies",2,195,432,120,195,357,103,Comedies,7,4
484,484,s714,Banana Island Ghost,BB Sasore,Nigeria,2017,108 min,"Comedies, International Movies",4,299,72,238,299,257,108,Comedies,7,4
485,485,s715,Banana Split,Ben Kasulke,United States,2020,84 min,"Comedies, Dramas, Independent Movies",3,289,435,285,289,440,84,Comedies,7,5
486,486,s716,Band Aid,Zoe Lister-Jones,United States,2017,94 min,"Comedies, Dramas, Independent Movies",0,921,678,534,921,440,94,Comedies,7,2
487,487,s717,Band of Robbers,"Aaron Nee, Adam Nee",United States,2015,95 min,"Action & Adventure, Comedies, Independent Movies",2,74,543,92,74,440,95,Action & Adventure,0,4
488,488,s718,Bandie,Alo Sarkar,India,1978,141 min,"Action & Adventure, Dramas, International Movies",1,741,327,447,741,173,141,Action & Adventure,0,3
489,489,s719,Bang Rajan 2,Tanit Jitnukul,Thailand,2010,122 min,"Action & Adventure, International Movies",1,894,56,302,894,353,122,Action & Adventure,0,3
490,490,s720,Bangistan,Karan Anshuman,India,2015,134 min,"Comedies, Dramas, International Movies",4,284,545,822,284,173,134,Comedies,7,4
491,491,s723,Bangkok Hell,Manop Janjarasskul,Thailand,2002,107 min,"Dramas, International Movies",3,512,14,198,512,353,107,Dramas,12,5
492,492,s728,Bangkok Traffic (Love) Story,Adisorn Tresirikasem,Thailand,2009,126 min,"Comedies, International Movies, Romantic Movies",0,26,35,279,26,353,126,Comedies,7,2
493,493,s729,Bar?a Dreams,Jordi Llompart,Spain,2015,122 min,"Documentaries, International Movies, Sports Movies",1,374,399,305,374,317,122,Documentaries,10,3
494,494,s730,Barah Aana,Raja Menon,India,2009,95 min,"Dramas, International Movies",2,298,505,595,298,173,95,Dramas,12,4
495,495,s731,Barakah Meets Barakah,Mahmoud Sabbagh,Saudi Arabia,2016,88 min,"Comedies, International Movies, Romantic Movies",4,815,878,862,815,291,88,Comedies,7,4
496,496,s734,Barbie & Her Sisters in a Pony Tale,Kyran Kelly,United States,2013,74 min,Children & Family Movies,4,431,92,902,431,440,74,Children & Family Movies,4,4
497,497,s735,Barbie Dolphin Magic,Conrad Helten,"United States, Canada",2017,64 min,Children & Family Movies,1,266,408,834,266,450,64,Children & Family Movies,4,3
498,498,s738,Barbie in A Mermaid Tale,Adam Wood,United States,2010,74 min,Children & Family Movies,5,480,186,251,480,440,74,Children & Family Movies,4,5
499,499,s739,Barbie in Princess Power,Zeke Norton,United States,2015,74 min,Children & Family Movies,4,489,918,886,489,440,74,Children & Family Movies,4,4
500,500,s740,Barbie in Rock 'N Royals,Karen J. Lloyd,United States,2015,83 min,Children & Family Movies,2,637,942,640,637,440,83,Children & Family Movies,4,4
501,501,s742,Barbie Princess Adventure,Conrad Helten,United States,2020,72 min,"Children & Family Movies, Music & Musicals",5,523,642,93,523,440,72,Children & Family Movies,4,5
502,502,s743,Barbie Star Light Adventure,"Andrew Tan, Michael Goguen",United States,2016,79 min,Children & Family Movies,3,942,469,208,942,440,79,Children & Family Movies,4,5
503,503,s744,Barbie: A Fairy Secret,William Lau,United States,2010,72 min,Children & Family Movies,2,225,842,780,225,440,72,Children & Family Movies,4,4
504,504,s745,Barbie: Princess Charm School,Ezekiel Norton,"United States, Canada",2011,80 min,Children & Family Movies,5,627,713,772,627,450,80,Children & Family Movies,4,5
505,505,s746,Barbie: Spy Squad,Conrad Helten,"United States, Canada",2016,75 min,Children & Family Movies,5,718,632,869,718,450,75,Children & Family Movies,4,5
506,506,s747,Barbie: The Princess & the Popstar,Ezekiel Norton,United States,2012,75 min,Children & Family Movies,2,332,302,860,332,440,75,Children & Family Movies,4,4
507,507,s748,Barbie: Video Game Hero,"Conrad Helten, Ezekiel Norton, Michael Goguen",United States,2017,72 min,Children & Family Movies,2,546,569,688,546,440,72,Children & Family Movies,4,4
508,508,s749,Barbra: The Music ... The Mem'ries ... The Magic!,"Barbra Streisand, Jim Gable",United States,2017,109 min,Music & Musicals,4,36,278,574,36,440,109,Music & Musicals,20,4
509,509,s750,Barcelona: A Love Untold,Olivia M. Lamasan,Philippines,2016,132 min,"Dramas, International Movies, Romantic Movies",1,348,713,268,348,272,132,Dramas,12,3
510,510,s752,Bareilly Ki Barfi,Ashwiny Iyer Tiwari,India,2017,110 min,"Comedies, Dramas, International Movies",5,258,425,864,258,173,110,Comedies,7,5
511,511,s753,Barely Lethal,Kyle Newman,United States,2015,99 min,"Action & Adventure, Comedies",1,305,411,699,305,440,99,Action & Adventure,0,3
512,512,s754,Barfi!,Anurag Basu,India,2012,144 min,"Comedies, Dramas, International Movies",4,128,589,594,128,173,144,Comedies,7,4
513,513,s755,Barrio Universitario,Esteban Vidal,Chile,2013,91 min,"Comedies, International Movies",1,462,826,259,462,63,91,Comedies,7,3
514,514,s756,Barry,Vikram Gandhi,United States,2016,105 min,Dramas,4,990,278,991,990,440,105,Dramas,12,4
515,515,s757,Barsaat,Rajkumar Santoshi,India,1995,166 min,"Action & Adventure, International Movies, Music & Musicals",4,39,371,910,39,173,166,Action & Adventure,0,4
516,516,s758,BASEketball,David Zucker,United States,1998,103 min,"Comedies, Sports Movies",3,536,332,419,536,440,103,Comedies,7,5
517,517,s759,Basic Instinct,Paul Verhoeven,"United States, France",1992,128 min,"Classic Movies, Thrillers",0,71,611,246,71,468,128,Classic Movies,6,2
518,518,s763,Bathinda Express,Deep Joshi,India,2016,118 min,"Dramas, International Movies, Sports Movies",1,786,597,513,786,173,118,Dramas,12,3
519,519,s764,Bathtubs Over Broadway,Dava Whisenant,United States,2018,87 min,"Documentaries, Music & Musicals",2,429,333,71,429,440,87,Documentaries,10,4
520,520,s765,Batman: The Killing Joke,Sam Liu,United States,2016,77 min,Action & Adventure,4,477,894,75,477,440,77,Action & Adventure,0,4
521,521,s766,Battle,Katarina Launing,"Norway, Denmark, Netherlands, Sweden",2018,98 min,"Dramas, International Movies, Romantic Movies",4,790,841,379,790,260,98,Dramas,12,4
522,522,s768,Battle Drone,Mitch Gould,United States,2018,94 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",1,475,274,314,475,440,94,Action & Adventure,0,3
523,523,s771,Bawarchi,Hrishikesh Mukherjee,India,1972,125 min,"Classic Movies, Comedies, Dramas",5,970,403,576,970,173,125,Classic Movies,6,5
524,524,s772,Baxu and the Giants,Florian Schott,Namibia,2019,29 min,"Dramas, International Movies",1,641,400,125,641,246,29,Dramas,12,3
525,525,s773,Bayonet,Kyzza Terrazas,"Mexico, Finland",2019,102 min,"Dramas, International Movies, Sports Movies",4,827,741,512,827,241,102,Dramas,12,4
526,526,s774,Bazaar,Sagar Sarhadi,India,1982,121 min,"Dramas, Independent Movies, International Movies",2,63,148,865,63,173,121,Dramas,12,4
527,527,s775,Bbuddah Hoga Terra Baap,Puri Jagannadh,India,2011,116 min,"Action & Adventure, Comedies, Dramas",2,102,277,34,102,173,116,Action & Adventure,0,4
528,528,s776,Be Here Now,Lilibet Foster,"United States, Australia",2015,110 min,Documentaries,5,714,758,73,714,442,110,Documentaries,10,5
529,529,s777,Be Somebody,Joshua Caldwell,United States,2016,88 min,"Comedies, Dramas, Romantic Movies",0,984,931,58,984,440,88,Comedies,7,2
530,530,s782,Bean: The Ultimate Disaster Movie,Mel Smith,"United Kingdom, United States",1997,89 min,"Comedies, International Movies",5,584,305,427,584,430,89,Comedies,7,5
531,531,s786,Beasts of No Nation,Cary Joji Fukunaga,United States,2015,137 min,"Dramas, Independent Movies",5,777,52,929,777,440,137,Dramas,12,5
532,532,s788,Beat Bugs: All Together Now,Josh Wakely,"Australia, Canada",2017,51 min,"Children & Family Movies, Music & Musicals",4,567,423,569,567,11,51,Children & Family Movies,4,4
533,533,s790,Beats,Chris Robinson,United States,2019,110 min,"Dramas, Independent Movies, Music & Musicals",1,980,159,82,980,440,110,Dramas,12,3
534,534,s791,Beauties of the Night,Mar¨ªa Jose Cuevas,Mexico,2016,92 min,"Documentaries, International Movies",4,955,157,932,955,239,92,Documentaries,10,4
535,535,s793,Beauty and the Bestie,Wenn V. Deramas,Philippines,2015,119 min,"Action & Adventure, Comedies, International Movies",4,824,839,638,824,272,119,Action & Adventure,0,4
536,536,s795,Beavis and Butt-head Do America,Mike Judge,United States,1996,81 min,"Comedies, Cult Movies",2,515,554,425,515,440,81,Comedies,7,4
537,537,s796,Bebe's Kids,Bruce W. Smith,United States,1992,73 min,Comedies,2,449,26,651,449,440,73,Comedies,7,4
538,538,s797,Because of Soccer,"Agasyah Karim, Khalid Kashogi",Indonesia,2008,75 min,"Comedies, Dramas, International Movies",5,908,262,336,908,192,75,Comedies,7,5
539,539,s799,Because We're Heading Out,Khaled El Halafawy,Egypt,2016,99 min,"Comedies, International Movies",1,747,627,139,747,100,99,Comedies,7,3
540,540,s800,Becoming,Nadia Hallgren,United States,2020,89 min,Documentaries,2,494,290,743,494,440,89,Documentaries,10,4
541,541,s802,Becoming Jane,Julian Jarrold,"United Kingdom, Ireland",2007,121 min,"Dramas, Romantic Movies",0,184,991,997,184,407,121,Dramas,12,2
542,542,s803,Bedtime Stories,Adam Shankman,United States,2008,100 min,"Children & Family Movies, Comedies",3,244,791,207,244,440,100,Children & Family Movies,4,5
543,543,s804,Bee Movie,"Steve Hickner, Simon J. Smith","United States, Australia",2007,92 min,"Children & Family Movies, Comedies",3,177,107,416,177,442,92,Children & Family Movies,4,5
544,544,s806,Before 30,BB Sasore,Nigeria,2015,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",5,360,287,719,360,257,1,International TV Shows,16,5
545,545,s807,Before I Fall,Ry Russo-Young,United States,2017,98 min,"Dramas, Romantic Movies",4,546,657,755,546,440,98,Dramas,12,4
546,546,s808,Before I Wake,Mike Flanagan,United States,2016,97 min,"Horror Movies, Thrillers",4,584,109,99,584,440,97,Horror Movies,13,4
547,547,s809,Before the Flood,Fisher Stevens,United States,2016,97 min,Documentaries,2,345,659,692,345,440,97,Documentaries,10,4
548,548,s810,Before the Summer Crowds,Mohamed Khan,Egypt,2016,86 min,"Dramas, International Movies",5,153,875,777,153,100,86,Dramas,12,5
549,549,s813,Behind the Curtain: Todrick Hall,Katherine Fairfax Wright,United States,2017,100 min,"Documentaries, LGBTQ Movies, Music & Musicals",2,69,543,53,69,440,100,Documentaries,10,4
550,550,s817,Beiimaan Love,Rajeev Chaudhari,India,2016,115 min,"Dramas, International Movies, Romantic Movies",1,239,139,7,239,173,115,Dramas,12,3
551,551,s818,Being AP,Anthony Wonke,United Kingdom,2015,99 min,"Documentaries, International Movies, Sports Movies",2,610,936,744,610,369,99,Documentaries,10,4
552,552,s819,Being Elmo: A Puppeteer's Journey,Constance Marks,United States,2011,76 min,Documentaries,4,219,365,330,219,440,76,Documentaries,10,4
553,553,s821,Being Mrs Elliot,Omoni Oboli,Nigeria,2014,113 min,"Dramas, International Movies, Romantic Movies",3,278,221,385,278,257,113,Dramas,12,5
554,554,s822,Being Napoleon,"Jesse Handsher, Olivier Roland",United States,2018,88 min,Documentaries,3,39,956,996,39,440,88,Documentaries,10,5
555,555,s823,Beirut Oh Beirut,Maroun Baghdadi,Lebanon,1975,106 min,"Classic Movies, Dramas, International Movies",2,419,216,534,419,232,106,Classic Movies,6,4
556,556,s824,Belgica,"Felix Van Groeningen, Felix van Groeningen","Belgium, France",2016,127 min,"Dramas, International Movies",1,634,839,781,634,26,127,Dramas,12,3
557,557,s825,Belief: The Possession of Janet Moses,David Stubbs,New Zealand,2015,90 min,"Documentaries, International Movies",4,55,608,296,55,253,90,Documentaries,10,4
558,558,s827,Belmonte,Federico Veiroj,"Uruguay, Spain, Mexico",2018,74 min,"Dramas, Independent Movies, International Movies",0,271,639,153,271,540,74,Dramas,12,2
559,559,s828,Below Her Mouth,April Mullen,Canada,2016,91 min,"Dramas, Independent Movies, International Movies",1,415,206,631,415,39,91,Dramas,12,3
560,560,s831,Ben Platt Live from Radio City Music Hall,"Alex Timbers, Sam Wrench",United States,2020,85 min,Music & Musicals,4,829,415,551,829,440,85,Music & Musicals,20,4
561,561,s832,Benchwarmers 2: Breaking Balls,Jon Rosenbaum,United States,2019,90 min,"Comedies, Sports Movies",1,475,879,751,475,440,90,Comedies,7,3
562,562,s834,Beneath the Leaves,Adam Marino,United States,2019,90 min,"Independent Movies, Thrillers",3,165,806,149,165,440,90,Independent Movies,14,5
563,563,s835,Benji,Brandon Camp,"United Arab Emirates, United States",2018,87 min,"Children & Family Movies, Dramas",1,797,314,451,797,367,87,Children & Family Movies,4,3
564,564,s836,Benji: Off the Leash,Joe Camp,United States,2004,100 min,"Children & Family Movies, Dramas",3,505,690,902,505,440,100,Children & Family Movies,4,5
565,565,s837,Benji's Very Own Christmas Story,Joe Camp,United States,1978,25 min,Children & Family Movies,2,976,692,768,976,440,25,Children & Family Movies,4,4
566,566,s838,Bennett's War,Alex Ranarivelo,United States,2019,94 min,"Dramas, Sports Movies",2,988,897,796,988,440,94,Dramas,12,4
567,567,s839,Berlin Calling,Hannes St?hr,Germany,2008,105 min,"Dramas, International Movies, Music & Musicals",0,58,376,329,58,144,105,Dramas,12,2
568,568,s840,Berlin Kaplani,Hakan Alg¨¹l,Turkey,2012,99 min,"Comedies, International Movies, Sports Movies",3,650,647,832,650,357,99,Comedies,7,5
569,569,s841,Berlin Syndrome,Cate Shortland,Australia,2017,116 min,"International Movies, Thrillers",2,196,266,494,196,10,116,International Movies,15,4
570,570,s842,"Berlin, Berlin: Lolle on the Run",Franziska Meyer Price,Germany,2020,82 min,"Comedies, International Movies",2,890,553,7,890,144,82,Comedies,7,4
571,571,s844,Berserk: The Golden Age Arc I - The Egg of the King,Toshiyuki Kubooka,Japan,2012,77 min,"Action & Adventure, Anime Features, International Movies",1,525,264,155,525,227,77,Action & Adventure,0,3
572,572,s845,Berserk: The Golden Age Arc II - The Battle for Doldrey,Toshiyuki Kubooka,Japan,2012,92 min,"Action & Adventure, Anime Features, International Movies",0,313,269,240,313,227,92,Action & Adventure,0,2
573,573,s846,Berserk: The Golden Age Arc III - The Advent,Toshiyuki Kubooka,Japan,2013,107 min,"Action & Adventure, Anime Features, International Movies",3,437,151,148,437,227,107,Action & Adventure,0,5
574,574,s847,Bert Kreischer: Hey Big Boy,Jeff Tomsic,United States,2020,62 min,Stand-Up Comedy,2,340,211,779,340,440,62,Stand-Up Comedy,25,2
575,575,s849,Bert Kreischer: The Machine,Ryan Polito,United States,2016,70 min,Stand-Up Comedy,0,726,693,164,726,440,70,Stand-Up Comedy,25,0
576,576,s854,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Amy Segal,Canada,2020,44 min,"Documentaries, LGBTQ Movies",1,317,960,784,317,39,44,Documentaries,10,3
577,577,s855,Best Worst Thing That Ever Could Have Happened,Lonny Price,United States,2016,97 min,Documentaries,1,514,699,870,514,440,97,Documentaries,10,3
578,578,s858,Bethany Hamilton: Unstoppable,Aaron Lieber,United States,2019,100 min,"Children & Family Movies, Documentaries, Sports Movies",1,649,444,644,649,440,100,Children & Family Movies,4,3
579,579,s861,Betting on Zero,Ted Braun,United States,2017,104 min,Documentaries,2,38,505,914,38,440,104,Documentaries,10,4
580,580,s862,Betty White: First Lady of Television,Steve Boettcher,United States,2018,56 min,Documentaries,5,621,566,223,621,440,56,Documentaries,10,5
581,581,s864,Between Maybes,Jason Paul Laxamana,Philippines,2019,108 min,"Dramas, International Movies, Romantic Movies",0,761,773,853,761,272,108,Dramas,12,2
582,582,s865,Between Two Ferns: The Movie,Scott Aukerman,United States,2019,83 min,Comedies,0,812,340,957,812,440,83,Comedies,7,2
583,583,s866,Between Worlds,Maria Pulera,Spain,2018,91 min,Thrillers,3,808,629,591,808,317,91,Thrillers,31,3
